year_month,station_id,station_name,station_name_en,station_attribute,metric,value,source_file
2017-07-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,940.3,dy_Report_2017.xml
2017-08-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,247.6,dy_Report_2017.xml
2017-09-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,171.6,dy_Report_2017.xml
2017-10-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,95.2,dy_Report_2017.xml
2017-11-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,72.9,dy_Report_2017.xml
2017-12-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,30.9,dy_Report_2017.xml
2017-01-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,18.0,dy_Report_2017.xml
2017-02-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,20.6,dy_Report_2017.xml
2017-03-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,19.4,dy_Report_2017.xml
2017-04-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,91.1,dy_Report_2017.xml
2017-05-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,88.1,dy_Report_2017.xml
2017-06-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,291.6,dy_Report_2017.xml
2017-07-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,507.5,dy_Report_2017.xml
2017-08-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,347.9,dy_Report_2017.xml
2017-09-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,336.7,dy_Report_2017.xml
2017-10-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,399.0,dy_Report_2017.xml
2017-11-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,43.7,dy_Report_2017.xml
2017-12-01,467540,大武,DAWU,署屬有人氣象站,Precipitation,27.0,dy_Report_2017.xml
2017-01-01,467550,玉山,YUSHAN,署屬有人氣象站,Precipitation,22.2,dy_Report_2017.xml
