year_month,station_id,station_name,station_name_en,station_attribute,source_file,Precipitation
2017-05-01,C0G650,員林,Yuanlin,署屬自動氣象站,dy_Report_2017.xml,110.0
2017-05-01,C0K400,斗六,Douliu,署屬自動氣象站,dy_Report_2017.xml,66.5
2017-05-01,C1E770,公館,Gongguan,署屬自動氣象站,dy_Report_2017.xml,94.5
2017-06-01,466880,板橋,BANQIAO,署屬有人氣象站,dy_Report_2017.xml,673.0
2017-06-01,466900,淡水,TAMSUI,署屬有人氣象站,dy_Report_2017.xml,915.5
2017-06-01,466910,鞍部,ANBU,署屬有人氣象站,dy_Report_2017.xml,1009.1
2017-06-01,466920,臺北,TAIPEI,署屬有人氣象站,dy_Report_2017.xml,649.7
2017-06-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,dy_Report_2017.xml,830.5
2017-06-01,466940,基隆,KEELUNG,署屬有人氣象站,dy_Report_2017.xml,824.9
2017-06-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,dy_Report_2017.xml,534.8
2017-06-01,466990,花蓮,HUALIEN,署屬有人氣象站,dy_Report_2017.xml,211.0
2017-06-01,467050,新屋,XINWU,署屬有人氣象站,dy_Report_2017.xml,761.2
2017-06-01,467060,蘇澳,SU-AO,署屬有人氣象站,dy_Report_2017.xml,329.9
2017-06-01,467080,宜蘭,YILAN,署屬有人氣象站,dy_Report_2017.xml,312.1
2017-06-01,467110,金門,KINMEN,署屬有人氣象站,dy_Report_2017.xml,170.9
2017-06-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,dy_Report_2017.xml,275.0
2017-06-01,467350,澎湖,PENGHU,署屬有人氣象站,dy_Report_2017.xml,314.7
2017-06-01,467410,臺南,TAINAN,署屬有人氣象站,dy_Report_2017.xml,251.5
2017-06-01,467420,永康,YONGKANG,署屬有人氣象站,dy_Report_2017.xml,279.0
2017-06-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,dy_Report_2017.xml,256.0
2017-06-01,467480,嘉義,CHIAYI,署屬有人氣象站,dy_Report_2017.xml,578.0
